FECHA_INSCRIPCION,FECHA_NACIMIENTO,GENERO,DESCRIPCION_SUBTIPO
18AUG2022:15:10:40,08MAY2006:00:00:00,Femenino,Adopción Plena
06JUL2022:12:04:24,25NOV2015:00:00:00,Masculino,Adopción Plena
14OCT2022:15:59:13,25APR1995:00:00:00,Femenino,Adopción Plena
19JUL2022:12:04:26,16DEC2008:00:00:00,Masculino,Adopción Plena
17AUG2022:11:09:22,28OCT1971:00:00:00,Masculino,Adopción Plena
23SEP2022:10:29:39,08JAN1978:00:00:00,Femenino,Adopción Plena
27SEP2022:14:51:10,11NOV1995:00:00:00,Masculino,Adopción Simple
27SEP2022:14:55:40,06JAN1998:00:00:00,Femenino,Adopción Simple
17AUG2022:10:54:12,19JAN1967:00:00:00,Femenino,Adopción Plena
17AUG2022:11:41:26,15FEB2009:00:00:00,Femenino,Adopción Plena
17AUG2022:10:30:41,19JAN1967:00:00:00,Femenino,Adopción Plena
11AUG2022:17:26:39,16MAR1995:00:00:00,Masculino,Adopción Plena
19JUL2022:12:14:52,28APR2014:00:00:00,Masculino,Adopción Plena
12AUG2022:16:40:11,18DEC1990:00:00:00,Femenino,Adopción Plena
03OCT2022:14:22:39,23APR1998:00:00:00,Masculino,Adopción Plena
26SEP2022:10:47:32,23FEB2013:00:00:00,Femenino,Adopción Plena
28SEP2022:18:40:18,07OCT1983:00:00:00,Masculino,Adopción Simple
03OCT2022:15:50:13,29MAR2011:00:00:00,Femenino,Adopción Plena
03OCT2022:15:58:11,14MAR2013:00:00:00,Masculino,Adopción Plena
19JUL2022:13:56:27,13SEP2007:00:00:00,Masculino,Adopción Plena
26SEP2022:12:51:39,24JAN1999:00:00:00,Femenino,Adopción Plena
18JUL2022:12:59:26,04OCT1993:00:00:00,Femenino,Adopción Plena
16JUL2022:23:02:16,14OCT2012:00:00:00,Masculino,Adopción Plena
29SEP2022:14:38:36,13AUG2012:00:00:00,Masculino,Adopción Plena
12AUG2022:11:40:35,,Masculino,Adopción Plena
