FECHA_INSCRIPCION,FECHA_NACIMIENTO,GENERO,DESCRIPCION_SUBTIPO
13OCT2021:09:46:58,25JUN2020:00:00:00,Femenino,Adopción Plena
07OCT2021:11:03:30,01MAY2017:00:00:00,Femenino,Adopción Plena
24JUN2021:10:20:50,24JAN2008:00:00:00,Masculino,Adopción Plena
28SEP2021:11:19:35,12SEP2002:00:00:00,Femenino,Adopción Plena
13AUG2021:12:19:35,25MAY2013:00:00:00,Masculino,Adopción Plena
28SEP2021:14:12:03,12JAN1999:00:00:00,Femenino,Adopción Simple
24JUN2021:09:38:31,18JUL2003:00:00:00,Femenino,Adopción Plena
23SEP2021:11:51:49,07FEB2020:00:00:00,Femenino,Adopción Plena
10AUG2021:11:53:32,04NOV1997:00:00:00,Femenino,Adopción Plena
16SEP2021:11:15:39,30AUG2013:00:00:00,Masculino,Adopción Plena
16SEP2021:11:32:31,04MAR2005:00:00:00,Masculino,Adopción Plena
24JUN2021:09:07:02,14AUG2015:00:00:00,Masculino,Adopción Plena
10AUG2021:13:10:28,12SEP2011:00:00:00,Femenino,Adopción Simple
30JUN2021:12:08:02,07SEP2018:00:00:00,Femenino,Adopción Plena
21SEP2021:14:02:26,13MAR2013:00:00:00,Masculino,Adopción Plena
27SEP2021:14:25:02,06AUG2018:00:00:00,Masculino,Adopción Plena
19JUL2021:10:09:15,19JUN2005:00:00:00,Femenino,Adopción Plena
05JUL2021:12:09:33,28MAR2012:00:00:00,Femenino,Adopción Plena
16JUL2021:12:55:19,22FEB2010:00:00:00,Femenino,Adopción Plena
15SEP2021:10:54:13,14DEC2000:00:00:00,Masculino,Adopción Plena
27SEP2021:08:22:50,02JAN2005:00:00:00,Masculino,Adopción Plena
10AUG2021:09:57:31,21SEP2016:00:00:00,Masculino,Adopción Plena
23SEP2021:10:16:05,13JUN2013:00:00:00,Femenino,Adopción Plena
05AUG2021:13:47:23,03FEB2019:00:00:00,Masculino,Adopción Plena
31MAR2021:11:03:06,05MAY2009:00:00:00,Masculino,Adopción Plena
08APR2021:12:28:20,12MAR2011:00:00:00,Masculino,Adopción Plena
26MAY2021:11:51:00,03NOV2005:00:00:00,Masculino,Adopción Plena
26MAY2021:12:26:35,28AUG2013:00:00:00,Masculino,Adopción Plena
31MAY2021:10:34:48,08JUN2016:00:00:00,Masculino,Adopción Plena
11MAY2021:11:58:41,29APR2019:00:00:00,Masculino,Adopción Plena
17MAR2021:16:56:54,23APR2010:00:00:00,Masculino,Adopción Plena
01MAR2021:14:17:30,02JUN2004:00:00:00,Femenino,Adopción Plena
11MAR2021:12:41:51,09NOV1976:00:00:00,Femenino,Adopción Plena
17JUN2021:15:05:56,17MAY2004:00:00:00,Masculino,Adopción Plena
26MAY2021:10:40:01,07APR1998:00:00:00,Femenino,Adopción Plena
08APR2021:12:00:51,05APR2013:00:00:00,Masculino,Adopción Plena
26MAY2021:12:13:38,08JUN2010:00:00:00,Masculino,Adopción Plena
24JUN2021:08:58:37,02JUN2017:00:00:00,Femenino,Adopción Plena
26FEB2021:12:45:25,09OCT1996:00:00:00,Masculino,Adopción Simple
09APR2021:15:25:43,23JUL2013:00:00:00,Femenino,Adopción Plena
26APR2021:11:22:58,02MAY1986:00:00:00,Masculino,Adopción Simple
26APR2021:12:25:51,08OCT2009:00:00:00,Femenino,Adopción Plena
23JUN2021:14:49:48,04JUN2019:00:00:00,Femenino,Adopción Plena
02JUN2021:12:16:38,05JUL2018:00:00:00,Femenino,Adopción Plena
22APR2021:11:25:52,05APR2008:00:00:00,Masculino,Adopción Plena
10MAY2021:10:09:36,29SEP1989:00:00:00,Femenino,Adopción Plena
19FEB2021:12:23:08,07JUN1996:00:00:00,Masculino,Adopción Plena
20AUG2021:16:03:03,03SEP2013:00:00:00,Masculino,Adopción Plena
23JUL2021:15:15:55,19JAN2009:00:00:00,Femenino,Adopción Plena
19FEB2021:12:11:02,15MAR1979:00:00:00,Masculino,Adopción Simple
03JUN2021:11:39:11,24NOV2006:00:00:00,Masculino,Adopción Plena
11MAY2021:11:43:09,16FEB2012:00:00:00,Femenino,Adopción Plena
15OCT2021:14:14:00,12MAY2013:00:00:00,Masculino,Adopción Plena
22MAR2021:12:23:44,11MAY2010:00:00:00,Femenino,Adopción Plena
22APR2021:15:34:39,05JUN2019:00:00:00,Femenino,Adopción Plena
23APR2021:14:36:00,20FEB1994:00:00:00,Masculino,Adopción Plena
20OCT2021:11:30:09,10JUN1968:00:00:00,Masculino,Adopción Plena
22MAR2021:12:16:14,11AUG1968:00:00:00,Masculino,Adopción Plena
23APR2021:12:12:46,31MAR2011:00:00:00,Femenino,Adopción Plena
18OCT2021:11:41:34,10DEC2004:00:00:00,Masculino,Adopción Plena
22APR2021:11:41:12,21JAN2014:00:00:00,Femenino,Adopción Plena
25MAR2021:11:10:14,05JUL2004:00:00:00,Masculino,Adopción Plena
26FEB2021:12:33:27,22MAR1995:00:00:00,Masculino,Adopción Simple
24JUN2021:09:23:42,02JUL1995:00:00:00,Femenino,Adopción Plena
05APR2021:11:32:32,07APR2009:00:00:00,Masculino,Adopción Plena
21MAY2021:11:35:51,26MAR2018:00:00:00,Masculino,Adopción Plena
19APR2021:08:57:58,19JUL1998:00:00:00,Masculino,Adopción Plena
15JUN2021:10:24:24,22NOV1991:00:00:00,Femenino,Adopción Simple
08APR2021:11:17:33,14MAY2008:00:00:00,Femenino,Adopción Plena
11MAR2021:12:16:50,27MAR2003:00:00:00,Femenino,Adopción Plena
16MAR2021:12:25:43,18FEB2012:00:00:00,Femenino,Adopción Plena
19MAY2021:09:57:47,20SEP2017:00:00:00,Masculino,Adopción Plena
09APR2021:15:43:17,28OCT2014:00:00:00,Masculino,Adopción Plena
10JUN2021:10:15:41,17DEC2004:00:00:00,Masculino,Adopción Plena
20MAY2021:10:39:42,08JUN2015:00:00:00,Masculino,Adopción Plena
16APR2021:14:12:12,17JAN2014:00:00:00,Masculino,Adopción Plena
11JUN2021:09:35:28,10JUL1982:00:00:00,Femenino,Adopción Plena
23APR2021:14:42:08,11MAY2019:00:00:00,Masculino,Adopción Plena
26MAR2021:10:33:59,25FEB2019:00:00:00,Masculino,Adopción Plena
11MAY2021:15:16:21,26SEP2008:00:00:00,Masculino,Adopción Plena
05MAR2021:13:00:06,27FEB2015:00:00:00,Masculino,Adopción Plena
04MAY2021:10:29:26,15AUG2009:00:00:00,Masculino,Adopción Plena
12MAY2021:12:37:34,11OCT2018:00:00:00,Femenino,Adopción Plena
23MAR2021:13:18:02,14JAN1995:00:00:00,Femenino,Adopción Plena
10MAR2021:09:56:43,01JUL2004:00:00:00,Femenino,Adopción Plena
14MAY2021:09:26:22,23JAN2008:00:00:00,Masculino,Adopción Plena
05APR2021:11:42:52,05JUN2012:00:00:00,Femenino,Adopción Plena
01MAR2021:10:52:45,24OCT2002:00:00:00,Femenino,Adopción Simple
17MAY2021:11:27:54,20DEC2007:00:00:00,Masculino,Adopción Plena
10MAR2021:09:30:10,26FEB2004:00:00:00,Masculino,Adopción Plena
20MAY2021:10:46:45,31MAR2012:00:00:00,Femenino,Adopción Plena
20MAY2021:12:23:47,11APR2014:00:00:00,Femenino,Adopción Plena
10MAR2021:10:06:35,23JAN2007:00:00:00,Masculino,Adopción Plena
11MAR2021:12:29:42,16JUL2018:00:00:00,Masculino,Adopción Plena
18FEB2021:10:19:32,23JUL1997:00:00:00,Masculino,Adopción Plena
18MAY2021:09:36:09,06APR2019:00:00:00,Femenino,Adopción Plena
31MAR2021:11:17:30,30DEC2007:01:00:00,Femenino,Adopción Plena
05APR2021:11:50:59,26AUG2015:00:00:00,Masculino,Adopción Plena
06APR2021:10:56:32,01MAY2011:00:00:00,Femenino,Adopción Plena
07MAY2021:13:13:15,29DEC2006:00:00:00,Femenino,Adopción Simple
11MAR2021:10:13:26,30OCT1967:00:00:00,Masculino,Adopción Plena
19FEB2021:12:33:35,25SEP1998:00:00:00,Femenino,Adopción Plena
26FEB2021:11:24:36,14SEP2018:00:00:00,Femenino,Adopción Plena
25MAR2021:13:38:02,02SEP2011:00:00:00,Femenino,Adopción Plena
26APR2021:12:36:45,21FEB2016:00:00:00,Femenino,Adopción Plena
22APR2021:13:39:39,01APR2017:00:00:00,Masculino,Adopción Plena
22APR2021:11:32:19,23OCT2009:00:00:00,Femenino,Adopción Plena
27APR2021:09:24:56,03MAY2008:00:00:00,Masculino,Adopción Plena
24JUN2021:09:16:55,30APR2005:00:00:00,Femenino,Adopción Plena
22MAR2021:12:26:16,18MAY2012:00:00:00,Femenino,Adopción Plena
30APR2021:14:16:21,27JUL2012:00:00:00,Femenino,Adopción Plena
29MAR2021:09:19:59,13JUN2018:00:00:00,Masculino,Adopción Plena
23APR2021:12:02:01,22MAY1994:00:00:00,Masculino,Adopción Plena
14JUN2021:11:30:33,05JUL2019:00:00:00,Femenino,Adopción Plena
19MAR2021:11:38:44,31MAR2003:00:00:00,Femenino,Adopción Plena
10JUN2021:09:57:25,06FEB2008:00:00:00,Femenino,Adopción Plena
10JUN2021:10:07:09,04DEC2009:00:00:00,Femenino,Adopción Plena
20APR2021:11:11:03,29MAR1975:00:00:00,Femenino,Adopción Simple
18MAR2021:12:51:01,08NOV2019:00:00:00,Femenino,Adopción Plena
17MAR2021:17:05:02,02SEP2011:00:00:00,Femenino,Adopción Plena
09APR2021:16:01:58,08SEP2002:00:00:00,Femenino,Adopción Plena
09APR2021:15:57:25,13JUN2020:00:00:00,Femenino,Adopción Plena
12APR2021:14:07:21,22SEP2001:00:00:00,Masculino,Adopción Plena
09APR2021:15:48:44,03JUN2009:00:00:00,Masculino,Adopción Plena
09APR2021:13:34:39,24APR2012:00:00:00,Femenino,Adopción Plena
09APR2021:14:05:06,14MAR2007:00:00:00,Masculino,Adopción Plena
26MAY2021:10:50:43,18FEB2010:00:00:00,Masculino,Adopción Plena
02MAR2021:11:35:31,11APR2019:00:00:00,Femenino,Adopción Plena
26MAY2021:12:06:26,21JUL2008:00:00:00,Masculino,Adopción Plena
26MAY2021:12:20:41,06FEB2012:00:00:00,Femenino,Adopción Plena
16MAR2021:09:15:10,08DEC2013:00:00:00,Masculino,Adopción Plena
14APR2021:11:27:48,04JUL2014:00:00:00,Masculino,Adopción Plena
27MAY2021:10:12:32,18DEC2003:00:00:00,Femenino,Adopción Simple
16DEC2020:16:28:57,10JUN2007:00:00:00,Masculino,Adopción Plena
11DEC2020:10:42:19,07JUL2010:00:00:00,Masculino,Adopción Plena
11DEC2020:16:11:07,13JUL2001:00:00:00,Femenino,Adopción Plena
04FEB2021:15:06:21,08APR2010:00:00:00,Femenino,Adopción Plena
12DEC2020:00:08:52,11MAY2019:00:00:00,Masculino,Adopción Plena
10NOV2020:08:28:41,06MAR2002:00:00:00,Femenino,Adopción Plena
04NOV2020:14:37:21,29SEP1995:00:00:00,Masculino,Adopción Simple
15OCT2020:14:35:51,04AUG2004:00:00:00,Femenino,Adopción Simple
27OCT2020:10:36:21,11APR2005:00:00:00,Femenino,Adopción Plena
16DEC2020:15:59:14,10APR2013:00:00:00,Masculino,Adopción Plena
15OCT2020:10:51:25,29OCT2009:00:00:00,Masculino,Adopción Plena
19DEC2020:23:40:54,21SEP2011:00:00:00,Femenino,Adopción Plena
12NOV2020:09:04:10,09JAN2014:00:00:00,Masculino,Adopción Plena
21OCT2020:10:13:22,18FEB2015:00:00:00,Femenino,Adopción Plena
21OCT2020:10:19:20,02NOV2017:00:00:00,Femenino,Adopción Plena
16DEC2020:15:38:30,29JAN2012:00:00:00,Masculino,Adopción Plena
15OCT2020:11:00:12,18JAN2011:00:00:00,Masculino,Adopción Plena
17DEC2020:12:28:17,05APR2016:00:00:00,Masculino,Adopción Plena
20OCT2020:13:07:08,20JUL2000:00:00:00,Masculino,Adopción Plena
11DEC2020:10:49:05,06SEP2012:00:00:00,Femenino,Adopción Plena
11DEC2020:15:52:14,08APR2006:00:00:00,Femenino,Adopción Plena
11DEC2020:16:23:41,08JUL2012:00:00:00,Femenino,Adopción Plena
11DEC2020:16:49:37,05DEC2010:00:00:00,Femenino,Adopción Plena
11DEC2020:16:56:29,09AUG2009:00:00:00,Femenino,Adopción Plena
04JAN2021:12:59:46,13JAN2015:00:00:00,Femenino,Adopción Plena
05JAN2021:08:57:20,04OCT2010:00:00:00,Femenino,Adopción Plena
27NOV2020:11:12:13,03MAR1998:00:00:00,Masculino,Adopción Simple
30NOV2020:16:11:08,05JAN2004:00:00:00,Masculino,Adopción Plena
16NOV2020:14:40:05,30DEC2018:00:00:00,Femenino,Adopción Plena
24NOV2020:12:23:54,04JUL2003:00:00:00,Masculino,Adopción Plena
16OCT2020:10:18:39,02APR2019:00:00:00,Femenino,Adopción Plena
19OCT2020:12:40:20,31AUG2018:00:00:00,Femenino,Adopción Plena
15JAN2021:10:43:04,31AUG2003:00:00:00,Masculino,Adopción Plena
27NOV2020:11:34:24,25JAN2000:00:00:00,Masculino,Adopción Simple
27NOV2020:11:57:52,06FEB2018:00:00:00,Masculino,Adopción Plena
27NOV2020:12:11:35,27APR1999:00:00:00,Masculino,Adopción Plena
04NOV2020:09:25:12,07JUN1997:00:00:00,Femenino,Adopción Simple
30OCT2020:10:49:28,22JUN2007:00:00:00,Masculino,Adopción Plena
05JAN2021:08:45:36,16APR2017:00:00:00,Femenino,Adopción Plena
05JAN2021:12:59:39,10FEB2006:00:00:00,Femenino,Adopción Plena
29DEC2020:11:30:46,09AUG1999:00:00:00,Masculino,Adopción Plena
23DEC2020:10:49:33,25AUG2014:00:00:00,Femenino,Adopción Plena
29OCT2020:11:12:12,22AUG2000:00:00:00,Femenino,Adopción Simple
20DEC2020:01:09:45,16AUG2018:00:00:00,Femenino,Adopción Plena
07JAN2021:10:18:44,08SEP2008:00:00:00,Masculino,Adopción Plena
07JAN2021:10:30:05,17JAN2015:00:00:00,Femenino,Adopción Plena
28DEC2020:08:47:17,29OCT2013:00:00:00,Femenino,Adopción Plena
14AUG2020:10:10:31,27JUN2005:00:00:00,Masculino,Adopción Plena
07SEP2020:10:31:10,14APR2005:00:00:00,Masculino,Adopción Plena
11SEP2020:10:31:47,14JAN2010:00:00:00,Femenino,Adopción Simple
24JUL2020:09:48:41,23AUG2017:00:00:00,Femenino,Adopción Plena
24SEP2020:10:38:34,31JUL2016:00:00:00,Femenino,Adopción Plena
13OCT2020:13:04:37,25APR2017:00:00:00,Femenino,Adopción Plena
09NOV2020:09:10:43,18DEC2006:00:00:00,Femenino,Adopción Plena
14SEP2020:11:01:45,07DEC2007:00:00:00,Femenino,Adopción Plena
03AUG2020:11:36:11,03AUG1983:00:00:00,Masculino,Adopción Simple
11SEP2020:09:48:28,29DEC2017:00:00:00,Masculino,Adopción Plena
01DEC2020:13:58:18,07MAY2007:00:00:00,Masculino,Adopción Simple
03DEC2020:10:16:17,17OCT2011:00:00:00,Masculino,Adopción Plena
01DEC2020:13:27:02,18NOV1997:00:00:00,Femenino,Adopción Plena
01DEC2020:15:14:24,24AUG2016:00:00:00,Masculino,Adopción Plena
09FEB2021:14:09:52,27JUN2005:00:00:00,Masculino,Adopción Plena
05NOV2020:10:43:28,28APR2014:00:00:00,Masculino,Adopción Plena
26OCT2020:10:06:55,10JUL2018:00:00:00,Masculino,Adopción Plena
02DEC2020:16:44:49,27APR1999:00:00:00,Masculino,Adopción Plena
03DEC2020:16:24:10,23NOV1970:00:00:00,Masculino,Adopción Simple
04NOV2020:14:50:50,08SEP1998:00:00:00,Masculino,Adopción Simple
03DEC2020:10:13:57,31JUL2010:00:00:00,Masculino,Adopción Plena
20AUG2020:09:26:56,13FEB2006:00:00:00,Femenino,Adopción Plena
21SEP2020:15:37:34,12JUL2005:00:00:00,Femenino,Adopción Simple
29SEP2020:09:59:31,06AUG2013:00:00:00,Femenino,Adopción Plena
01SEP2020:10:06:38,04MAR2008:00:00:00,Masculino,Adopción Plena
15SEP2020:09:54:31,03SEP2007:00:00:00,Masculino,Adopción Simple
02SEP2020:10:19:25,31OCT2014:00:00:00,Femenino,Adopción Plena
09OCT2020:10:10:47,05JUL2011:00:00:00,Femenino,Adopción Plena
26AUG2020:10:05:59,08SEP2003:00:00:00,Femenino,Adopción Plena
20JUL2020:11:46:20,30MAR2015:00:00:00,Femenino,Adopción Plena
13OCT2020:11:21:41,12SEP2019:00:00:00,Masculino,Adopción Plena
22SEP2020:10:11:31,09JUN2016:00:00:00,Masculino,Adopción Plena
29SEP2020:10:06:20,05JAN2016:00:00:00,Masculino,Adopción Plena
29JUL2020:10:55:28,05APR2018:00:00:00,Femenino,Adopción Plena
12AUG2020:09:07:52,12MAY2019:00:00:00,Femenino,Adopción Plena
24SEP2020:10:45:13,12JUL2008:00:00:00,Femenino,Adopción Plena
01OCT2020:10:26:10,22MAR2003:00:00:00,Masculino,Adopción Plena
28SEP2020:08:45:14,20JUN2017:00:00:00,Masculino,Adopción Plena
28SEP2020:12:18:39,18MAR2019:00:00:00,Masculino,Adopción Plena
24SEP2020:09:14:57,26JAN2002:00:00:00,Masculino,Adopción Simple
24SEP2020:10:21:41,20NOV2017:00:00:00,Femenino,Adopción Plena
17SEP2020:16:29:33,06APR2018:00:00:00,Femenino,Adopción Plena
14SEP2020:10:44:47,11MAR2018:00:00:00,Femenino,Adopción Plena
04SEP2020:12:44:15,15JAN1993:00:00:00,Femenino,Adopción Plena
21JUL2020:22:39:52,11MAR2019:00:00:00,Masculino,Adopción Plena
11SEP2020:09:57:10,25JUN2002:00:00:00,Masculino,Adopción Simple
09SEP2020:12:22:27,22JAN2019:00:00:00,Masculino,Adopción Plena
13OCT2020:11:06:46,06NOV2018:00:00:00,Femenino,Adopción Plena
13OCT2020:11:14:15,15NOV2018:00:00:00,Femenino,Adopción Plena
13OCT2020:11:28:11,04MAY2017:00:00:00,Femenino,Adopción Plena
04JUN2020:10:00:24,24APR2007:00:00:00,Femenino,Adopción Plena
26MAR2020:12:49:14,14FEB2014:00:00:00,Masculino,Adopción Plena
08OCT2020:10:18:04,27MAY1989:00:00:00,Femenino,Adopción Plena
29SEP2020:09:50:08,06AUG2013:00:00:00,Femenino,Adopción Plena
02OCT2020:14:08:28,04AUG2014:00:00:00,Femenino,Adopción Plena
21AUG2020:12:07:31,26APR2001:00:00:00,Masculino,Adopción Plena
29JUL2020:11:03:28,18JUL2001:00:00:00,Masculino,Adopción Plena
20AUG2020:12:59:55,26JUN2018:00:00:00,Masculino,Adopción Plena
01OCT2020:10:20:55,10FEB2002:00:00:00,Masculino,Adopción Plena
01OCT2020:10:50:45,03MAY2016:00:00:00,Masculino,Adopción Plena
30JUL2020:09:59:21,16OCT2013:00:00:00,Femenino,Adopción Simple
04JUN2020:10:09:27,27APR2009:00:00:00,Masculino,Adopción Plena
03JUL2020:10:57:21,04SEP2011:00:00:00,Femenino,Adopción Plena
03JUL2020:11:03:08,28APR2014:00:00:00,Masculino,Adopción Plena
18JUN2020:11:40:35,14JUL2006:00:00:00,Masculino,Adopción Plena
03JUL2020:11:09:50,20JUL2015:00:00:00,Femenino,Adopción Plena
27MAR2020:20:18:59,20FEB2018:00:00:00,Masculino,Adopción Plena
12JUN2020:10:33:19,09JUN1995:00:00:00,Femenino,Adopción Plena
30APR2020:18:56:07,23SEP2018:00:00:00,Femenino,Adopción Plena
18JUN2020:11:01:51,05SEP2007:00:00:00,Masculino,Adopción Plena
12JUN2020:10:25:18,17JAN2018:00:00:00,Masculino,Adopción Plena
04JUN2020:09:49:03,30MAR2004:00:00:00,Femenino,Adopción Plena
04JUN2020:10:15:55,12OCT2010:00:00:00,Masculino,Adopción Plena
26FEB2020:14:15:21,24JUN2011:00:00:00,Masculino,Adopción Plena
02MAR2020:15:02:50,21DEC2015:00:00:00,Femenino,Adopción Plena
27FEB2020:10:14:27,08DEC2017:00:00:00,Masculino,Adopción Plena
11MAR2020:11:33:34,01MAR2017:00:00:00,Masculino,Adopción Plena
22JUN2020:09:22:57,21DEC2018:00:00:00,Femenino,Adopción Plena
23JUN2020:09:33:29,09FEB2008:00:00:00,Masculino,Adopción Plena
12FEB2020:15:34:18,13APR2018:00:00:00,Femenino,Adopción Plena
03MAR2020:13:37:30,12MAY1998:00:00:00,Femenino,Adopción Plena
14FEB2020:12:52:20,26JUL2011:00:00:00,Masculino,Adopción Plena
04MAR2020:13:06:41,02NOV2010:00:00:00,Femenino,Adopción Plena
26FEB2020:14:30:59,12MAR2016:00:00:00,Masculino,Adopción Plena
23JAN2020:12:27:25,28DEC2014:00:00:00,Femenino,Adopción Plena
21FEB2020:15:38:51,25APR2013:00:00:00,Femenino,Adopción Plena
30JAN2020:11:48:43,12JUL2006:00:00:00,Femenino,Adopción Plena
06FEB2020:10:56:00,,Masculino,Adopción Plena
20JAN2020:10:39:57,17JAN2009:00:00:00,Femenino,Adopción Plena
17FEB2020:11:21:44,07JUN2014:00:00:00,Femenino,Adopción Plena
27JAN2020:12:07:18,27SEP1971:00:00:00,Masculino,Adopción Plena
02MAR2020:14:54:07,21DEC2015:00:00:00,Femenino,Adopción Plena
02MAR2020:15:24:27,20FEB2001:00:00:00,Masculino,Adopción Plena
28FEB2020:11:27:24,06APR2004:00:00:00,Femenino,Adopción Plena
20FEB2020:14:34:47,02NOV2006:00:00:00,Masculino,Adopción Plena
21FEB2020:09:48:48,05AUG2012:00:00:00,Femenino,Adopción Plena
10FEB2020:12:59:24,08MAY2017:00:00:00,Femenino,Adopción Plena
26FEB2020:14:26:52,14FEB2015:00:00:00,Femenino,Adopción Plena
11MAR2020:14:07:13,02JAN2010:00:00:00,Femenino,Adopción Simple
11MAR2020:15:25:43,13MAR2001:00:00:00,Femenino,Adopción Plena
13MAR2020:11:29:40,08JUN2016:00:00:00,Masculino,Adopción Plena
11MAR2020:15:19:06,11JUL1997:00:00:00,Femenino,Adopción Plena
23JAN2020:12:45:55,21NOV2010:00:00:00,Masculino,Adopción Plena
10FEB2020:09:59:46,17FEB2004:00:00:00,Femenino,Adopción Plena
10MAR2020:13:18:45,13DEC2002:00:00:00,Masculino,Adopción Plena
10FEB2020:10:51:29,23JUL2005:00:00:00,Femenino,Adopción Plena
23JAN2020:12:16:15,24AUG1995:00:00:00,Masculino,Adopción Plena
27JAN2020:14:49:47,28JAN2012:00:00:00,Femenino,Adopción Plena
18FEB2020:14:21:28,30DEC2008:00:00:00,Femenino,Adopción Plena
19FEB2020:08:58:46,04OCT2004:00:00:00,Femenino,Adopción Simple
09MAR2020:11:40:37,10OCT2000:00:00:00,Femenino,Adopción Simple
04MAR2020:11:20:35,08MAY2015:00:00:00,Masculino,Adopción Simple
06FEB2020:11:31:33,20JAN2018:00:00:00,Femenino,Adopción Plena
31OCT2019:13:36:49,14APR2004:00:00:00,Femenino,Adopción Plena
27NOV2019:14:33:48,29MAR2017:00:00:00,Masculino,Adopción Plena
01NOV2019:11:28:00,20JUN1997:00:00:00,Femenino,Adopción Plena
29NOV2019:11:26:13,09APR1997:00:00:00,Femenino,Adopción Plena
05NOV2019:12:19:05,14MAR2017:00:00:00,Masculino,Adopción Plena
09OCT2019:12:48:26,17JUL2017:00:00:00,Masculino,Adopción Plena
06NOV2019:11:03:51,09MAY2005:00:00:00,Femenino,Adopción Plena
06NOV2019:11:06:38,26JUL2002:00:00:00,Femenino,Adopción Simple
06NOV2019:11:50:34,05JUN2009:00:00:00,Femenino,Adopción Plena
11DEC2019:12:46:54,10FEB2002:00:00:00,Masculino,Adopción Plena
11DEC2019:15:08:48,23DEC2000:00:00:00,Femenino,Adopción Simple
13NOV2019:12:38:08,09AUG2018:00:00:00,Masculino,Adopción Plena
07NOV2019:15:44:01,18OCT1979:00:00:00,Masculino,Adopción Simple
07OCT2019:10:03:46,23DEC2016:00:00:00,Femenino,Adopción Plena
30DEC2019:10:52:29,04FEB2005:00:00:00,Masculino,Adopción Plena
10OCT2019:10:25:44,30DEC2015:00:00:00,Femenino,Adopción Plena
08OCT2019:12:18:18,18NOV2007:00:00:00,Masculino,Adopción Plena
08OCT2019:10:13:01,07AUG2001:00:00:00,Masculino,Adopción Plena
08OCT2019:12:23:17,27MAR2010:00:00:00,Masculino,Adopción Plena
11DEC2019:12:54:47,24MAR2002:00:00:00,Femenino,Adopción Simple
12DEC2019:13:01:09,05JUL2017:00:00:00,Femenino,Adopción Plena
02JAN2020:11:50:50,13MAR2005:00:00:00,Femenino,Adopción Simple
30OCT2019:09:44:25,03MAY2011:00:00:00,Masculino,Adopción Plena
10JAN2020:15:07:39,07SEP2009:00:00:00,Masculino,Adopción Plena
24OCT2019:13:04:34,19MAY2013:00:00:00,Masculino,Adopción Plena
14NOV2019:09:43:04,07JUN2008:00:00:00,Femenino,Adopción Simple
27NOV2019:14:46:26,17APR2007:00:00:00,Masculino,Adopción Plena
01NOV2019:11:53:12,11AUG2015:00:00:00,Femenino,Adopción Plena
29NOV2019:12:39:16,22DEC2011:00:00:00,Femenino,Adopción Plena
31OCT2019:13:44:53,15APR2006:00:00:00,Masculino,Adopción Plena
14JAN2020:10:58:34,23JUL1993:00:00:00,Femenino,Adopción Plena
07OCT2019:11:35:31,24FEB2011:00:00:00,Masculino,Adopción Plena
31OCT2019:10:07:44,16JUL2006:00:00:00,Femenino,Adopción Plena
26NOV2019:15:11:48,18JAN2014:00:00:00,Masculino,Adopción Plena
01NOV2019:11:09:33,26SEP2013:00:00:00,Femenino,Adopción Plena
27DEC2019:12:02:23,16JAN2007:00:00:00,Masculino,Adopción Plena
27DEC2019:12:49:20,13NOV2018:00:00:00,Femenino,Adopción Plena
05DEC2019:11:30:19,04JUL2017:00:00:00,Masculino,Adopción Plena
30DEC2019:09:14:33,24SEP2008:00:00:00,Masculino,Adopción Plena
07NOV2019:15:02:16,04AUG1974:00:00:00,Masculino,Adopción Simple
23OCT2019:10:22:04,05APR2000:00:00:00,Masculino,Adopción Plena
20DEC2019:14:40:03,21MAY2016:00:00:00,Masculino,Adopción Plena
05NOV2019:14:29:52,01JUN2006:00:00:00,Masculino,Adopción Simple
16DEC2019:14:26:25,17JAN2015:00:00:00,Femenino,Adopción Plena
23DEC2019:11:28:13,21JAN2004:00:00:00,Masculino,Adopción Plena
17JAN2020:10:25:45,09AUG2003:00:00:00,Masculino,Adopción Simple
10DEC2019:13:15:05,29APR2014:00:00:00,Femenino,Adopción Simple
11DEC2019:09:33:04,03FEB2017:00:00:00,Femenino,Adopción Plena
03JAN2020:12:59:36,25APR2013:00:00:00,Masculino,Adopción Plena
11DEC2019:11:49:25,04JUL2003:00:00:00,Femenino,Adopción Plena
11DEC2019:12:27:01,30APR2003:00:00:00,Masculino,Adopción Plena
11DEC2019:12:32:21,24MAR2002:00:00:00,Femenino,Adopción Simple
11NOV2019:12:00:33,24NOV2011:00:00:00,Femenino,Adopción Plena
07NOV2019:09:39:31,13MAY2004:00:00:00,Femenino,Adopción Plena
30DEC2019:08:57:58,16FEB2007:00:00:00,Masculino,Adopción Plena
28OCT2019:09:51:36,04JUN2011:00:00:00,Femenino,Adopción Simple
20DEC2019:13:37:19,09MAY2016:00:00:00,Masculino,Adopción Plena
24OCT2019:12:41:28,22APR2012:00:00:00,Masculino,Adopción Plena
13NOV2019:13:08:29,16MAY2016:00:00:00,Masculino,Adopción Plena
18DEC2019:12:54:49,21NOV2008:00:00:00,Masculino,Adopción Plena
30DEC2019:10:33:45,12JAN2018:00:00:00,Femenino,Adopción Plena
26DEC2019:16:29:13,02APR1999:00:00:00,Femenino,Adopción Plena
30DEC2019:11:38:45,25APR2009:00:00:00,Masculino,Adopción Plena
02JAN2020:08:50:53,08MAY2015:00:00:00,Masculino,Adopción Plena
26DEC2019:16:46:32,03MAR2017:00:00:00,Femenino,Adopción Plena
27DEC2019:09:01:46,10OCT2015:00:00:00,Masculino,Adopción Plena
27DEC2019:09:10:53,02APR2014:00:00:00,Femenino,Adopción Plena
